essay01.txt	3	competition can effectively promote the development of economy	It is always said that competition can effectively promote the development of economy.	1	17
essay02.txt	2	These feedbacks, in turn, help raise one’s pride of their cultures and help people understand each other more	These feedbacks, in turn, help raise one’s pride of their cultures and help people understand each other more.	8	17
essay02.txt	2	maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments	Firstly, maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments.	5	17
essay02.txt	2	Take Australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues	Take Australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues.	6	17
essay02.txt	2	children immigrated to a new country will face social troubles in school with new friends	For instance, children immigrated to a new country will face social troubles in school with new friends.	11	17
essay02.txt	2	In this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home	In this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home.	12	17
essay02.txt	2	Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism	Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism.	13	17
essay02.txt	3	keeping the cultural traditions in the destination countries is tremendous important	Hence, it is clear that keeping the cultural traditions in the destination countries is tremendous important.	14	17
essay02.txt	3	it is crucial to keep one’s identity	Secondly, it is crucial to keep one’s identity for they need a connection back to their country as well as teach their children their value of origin.	10	17
essay02.txt	3	sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society	As far as I am concerned, sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society.	16	17
essay02.txt	2	they need a connection back to their country as well as teach their children their value of origin	Secondly, it is crucial to keep one’s identity for they need a connection back to their country as well as teach their children their value of origin.	10	17
essay02.txt	0	More people are migrating to other countries than ever before.	More people are migrating to other countries than ever before.	0	17
essay02.txt	0	The last 50 years have seen an increasing number of immigrants to other countries.	The last 50 years have seen an increasing number of immigrants to other countries.	1	17
essay02.txt	0	People moved due to a number of reasons, namely better educations or higher salary jobs.	People moved due to a number of reasons, namely better educations or higher salary jobs.	2	17
essay02.txt	0	To conclude, although there are opposing ideas of neglecting one’s cultural values to adapt in the new cultures.	To conclude, although there are opposing ideas of neglecting one’s cultural values to adapt in the new cultures.	15	17
essay03.txt	2	These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard	These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard.	5	13
essay03.txt	3	tourism has survived many non-tangible cultural values and beauty scenes	Thus, tourism has survived many non-tangible cultural values and beauty scenes.	10	13
essay03.txt	2	international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists	Firstly, international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists.	3	13
essay03.txt	2	Without this support and profit from tourism, many traditional cultures would disappear due to its low income works	Without this support and profit from tourism, many traditional cultures would disappear due to its low income works.	9	13
essay03.txt	2	Take Cambodia for example, a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores	Take Cambodia for example, a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores.	4	13
essay03.txt	3	international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries	To conclude, as far as I am concerned, international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries.	11	13
essay03.txt	3	the authorities should adequately support these sustainable developments	In addition, the authorities should adequately support these sustainable developments.	12	13
essay03.txt	3	through tourism industry, many cultural values have been preserved and natural environments have been protected	Secondly, through tourism industry, many cultural values have been preserved and natural environments have been protected.	7	13
essay03.txt	2	in Vietnam, many cultural costumes and natural scenes, namely ‘Trong Dong’ drum performance and ‘Ha Long’ bay, are being encouraged to preserve and funded by the tourism ministry	For instance, in Vietnam, many cultural costumes and natural scenes, namely ‘Trong Dong’ drum performance and ‘Ha Long’ bay, are being encouraged to preserve and funded by the tourism ministry.	8	13
essay03.txt	1	it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations	While some people might think that this international tourism has negative effects on the destination countries, I would contend that it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations.	2	13
essay03.txt	3	tourism has clearly improved lives in the tourist country	Therefore tourism has clearly improved lives in the tourist country.	6	13
essay03.txt	3	this international tourism has negative effects on the destination countries	While some people might think that this international tourism has negative effects on the destination countries, I would contend that it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations.	2	13
essay03.txt	0	International tourism is now more common than ever before.	International tourism is now more common than ever before.	0	13
essay03.txt	0	The last decade has seen an increasing number of tourists travelling to visit natural wonder sights, ancient heritages and different cultures around the world.	The last decade has seen an increasing number of tourists travelling to visit natural wonder sights, ancient heritages and different cultures around the world.	1	13
essay04.txt	3	tourism increasingly create harms to the natural habitats of the destination appeals	Secondly, there are clear evidences that tourism increasingly create harms to the natural habitats of the destination appeals.	7	13
essay04.txt	3	tourism has threatened the nature environments	Thus, it is apparent that tourism has threatened the nature environments.	10	13
essay04.txt	2	Take Thailand for example, in the Vietnam War, many American soldiers came to Thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximise their profits	Take Thailand for example, in the Vietnam War, many American soldiers came to Thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximise their profits.	4	13
essay04.txt	3	tourism has created threatening pressure on both the sociocultural and natural environments	To conclude, I strongly believe that the tourism has created threatening pressure on both the sociocultural and natural environments.	11	13
essay04.txt	2	This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism	This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism.	5	13
essay04.txt	3	If authorities do not take steps to appropriately conserve these precious values, they will be destroyed in the near future	If authorities do not take steps to appropriately conserve these precious values, they will be destroyed in the near future.	12	13
essay04.txt	2	As the Australia’s Great Barrier Reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat’s anchors, dropping fuel and other sorts of pollutions	As the Australia’s Great Barrier Reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat’s anchors, dropping fuel and other sorts of pollutions.	8	13
essay04.txt	2	many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species	For this reason, many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species.	9	13
essay04.txt	1	this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations	While some might think the tourism bring large profit for the destination countries, I would contend that this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations.	2	13
essay04.txt	3	international tourism can create negative impacts on the destination countries	Therefore this proves that international tourism can create negative impacts on the destination countries.	6	13
essay04.txt	3	tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations	Firstly, it is an undeniable fact that tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations.	3	13
essay04.txt	0	International tourism is now more common than ever before.	International tourism is now more common than ever before.	0	13
essay04.txt	0	The last 50 years have seen a significant increase in the number of tourist travelling worldwide.	The last 50 years have seen a significant increase in the number of tourist travelling worldwide.	1	13
essay05.txt	2	those difficulties will turn into valuable experiences in the following steps of life	One who is living overseas will of course struggle with loneliness, living away from family and friends but those difficulties will turn into valuable experiences in the following steps of life.	7	14
essay05.txt	2	the one will learn living without depending on anyone else	Moreover, the one will learn living without depending on anyone else.	8	14
essay05.txt	3	living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet	Second, living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet.	6	14
essay05.txt	3	one who has studied and lived overseas will become more eligible for the job than his/her peers	Therefore, one who has studied and lived overseas will become more eligible for the job than his/her peers.	11	14
essay05.txt	2	One who is living overseas will of course struggle with loneliness, living away from family and friends	One who is living overseas will of course struggle with loneliness, living away from family and friends but those difficulties will turn into valuable experiences in the following steps of life.	7	14
essay05.txt	2	there are many difficulties a student might face when studying and living overseas	In conclusion, there are many difficulties a student might face when studying and living overseas.	12	14
essay05.txt	3	living and studying overseas gives the individual a new perspective on the subject that is studied or in general life	However, living and studying overseas gives the individual a new perspective on the subject that is studied or in general life.	13	14
essay05.txt	2	employers are mostly looking for people who have international and language skills	Also, employers are mostly looking for people who have international and language skills.	9	14
essay05.txt	2	Becoming successful in this study will give the student an edge in job market	Becoming successful in this study will give the student an edge in job market.	10	14
essay05.txt	1	one who studies overseas will gain many skills throughout this experience	In my opinion, one who studies overseas will gain many skills throughout this experience for several reasons.	3	14
essay05.txt	3	Compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life	Compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life.	5	14
essay05.txt	2	studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures	First, studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures.	4	14
essay05.txt	0	Living and studying overseas.	Living and studying overseas.	0	14
essay05.txt	0	It is every student's desire to study at a good university and experience a new environment.	It is every student's desire to study at a good university and experience a new environment.	1	14
essay05.txt	0	While some students study and live overseas to achieve this, some prefer to study home because of the difficulties of living and studying overseas.	While some students study and live overseas to achieve this, some prefer to study home because of the difficulties of living and studying overseas.	2	14
essay06.txt	2	It is a crucial element for living a healthier, longer, and happier life	It is a crucial element for living a healthier, longer, and happier life.	6	40
essay06.txt	3	The number one reason why people should exercise is because it will keep you healthy	The number one reason why people should exercise is because it will keep you healthy.	7	40
essay06.txt	2	Exercise not only reduces the risk of health problems and various diseases, but it also has an effect on overall appearance	Exercise not only reduces the risk of health problems and various diseases, but it also has an effect on overall appearance.	3	40
essay06.txt	2	exercising and being active can improve self-esteem and confidence	It is proven that exercising and being active can improve self-esteem and confidence.	4	40
essay06.txt	3	it's really fun	In my opinion the best reason to exercise is that it's really fun!	25	40
essay06.txt	2	exercising takes up a lot of time and it requires too much work	Most people think that exercising takes up a lot of time and it requires too much work.	26	40
essay06.txt	2	it's also a mental activity	Most people think of exercising as only being a physical activity, but it's also a mental activity.	18	40
essay06.txt	2	Americans are eating enormous amounts of fast foods these days	Americans are eating enormous amounts of fast foods these days, so cardiovascular diseases are becoming more and more common.	8	40
essay06.txt	2	Most people think of exercising as only being a physical activity	Most people think of exercising as only being a physical activity, but it's also a mental activity.	18	40
essay06.txt	2	cardiovascular diseases are becoming more and more common	Americans are eating enormous amounts of fast foods these days, so cardiovascular diseases are becoming more and more common.	8	40
essay06.txt	3	it improves self-esteem and confidence	The second benefit to exercising is that it improves self-esteem and confidence.	17	40
essay06.txt	2	It is extremely rewarding and worthwhile	It is extremely rewarding and worthwhile.	39	40
essay06.txt	2	Exercising also helps improve you brain function and your memory	Exercising also helps improve you brain function and your memory.	24	40
essay06.txt	2	they can improve their lives in many ways	Everyone should take time out of their days to exercise, so they can improve their lives in many ways.	37	40
essay06.txt	2	when you're exercising you're bringing more oxygen into you lungs and your brain appreciates the extra air	Plus, when you're exercising you're bringing more oxygen into you lungs and your brain appreciates the extra air.	23	40
essay06.txt	3	Everyone should take time out of their days to exercise	Everyone should take time out of their days to exercise, so they can improve their lives in many ways.	37	40
essay06.txt	2	When you exercise you body releases endorphins, which are chemicals that create a happy feeling in brain	When you exercise you body releases endorphins, which are chemicals that create a happy feeling in brain.	22	40
essay06.txt	2	it helps relieves tension and stress	Exercising gives people energy, which helps people have positive outlooks on life and it helps relieves tension and stress.	21	40
essay06.txt	2	Exercising gives people energy, which helps people have positive outlooks on life	Exercising gives people energy, which helps people have positive outlooks on life and it helps relieves tension and stress.	21	40
essay06.txt	1	Excerising is one of the most important things in life	Excerising is one of the most important things in life and it can even be fun.	5	40
essay06.txt	2	America's number one killer is cardiovascular diseases, which can easily be prevented by exercising	America's number one killer is cardiovascular diseases, which can easily be prevented by exercising.	2	40
essay06.txt	2	it can even be fun	Excerising is one of the most important things in life and it can even be fun.	5	40
essay06.txt	2	One out of every four Americans are suffering from some form of cardiovascular diseases, which results in more than forty-five percent of deaths annually	One out of every four Americans are suffering from some form of cardiovascular diseases, which results in more than forty-five percent of deaths annually.	9	40
essay06.txt	2	Many people come up with plenty of excuses to not exercise	Many people come up with plenty of excuses to not exercise; however, if you truly want to improve your mental and physical health you will find the energy and time to exercise.	36	40
essay06.txt	2	The main cause for this condition is obesity	The main cause for this condition is obesity.	10	40
essay06.txt	2	it's one hundred percent beneficial	It is one of the most important things in life and it's one hundred percent beneficial.	35	40
essay06.txt	2	The more body fat that you have, the greater your risk for heart disease	The more body fat that you have, the greater your risk for heart disease.	11	40
essay06.txt	2	this condition can easily be prevented or controlled by exercising	However, this condition can easily be prevented or controlled by exercising.	12	40
essay06.txt	2	if you truly want to improve your mental and physical health you will find the energy and time to exercise	Many people come up with plenty of excuses to not exercise; however, if you truly want to improve your mental and physical health you will find the energy and time to exercise.	36	40
essay06.txt	2	Exercising makes the heart muscles stronger	Exercising makes the heart muscles stronger.	13	40
essay06.txt	2	There is no greater feeling than achieving a weight lose goal and being able to feel good about your body	There is no greater feeling than achieving a weight lose goal and being able to feel good about your body.	32	40
essay06.txt	2	When your heart muscle is strong it can do the same amount of work at a lower heart rate	When your heart muscle is strong it can do the same amount of work at a lower heart rate, so the heart doesn't have to work as hard as it does with weak muscles.	14	40
essay06.txt	2	Setting goals and rewards will help you stay motivated and consistent with exercising	Setting goals and rewards will help you stay motivated and consistent with exercising.	31	40
essay06.txt	2	the heart doesn't have to work as hard as it does with weak muscles	When your heart muscle is strong it can do the same amount of work at a lower heart rate, so the heart doesn't have to work as hard as it does with weak muscles.	14	40
essay06.txt	3	It is one of the most important things in life	It is one of the most important things in life and it's one hundred percent beneficial.	35	40
essay06.txt	2	Exercising not only helps prevent cardiovascular diseases, but it also helps prevent strokes, type 2 diabetes, and even certain types of cancer	Exercising not only helps prevent cardiovascular diseases, but it also helps prevent strokes, type 2 diabetes, and even certain types of cancer.	16	40
essay06.txt	2	exercising is the key to making your life healthier, longer, and happier	In conclusion, exercising is the key to making your life healthier, longer, and happier.	34	40
essay06.txt	2	people who exercise have higher self esteem and confidence	There have been studies that show evidence that people who exercise have higher self esteem and confidence.	19	40
essay06.txt	2	When people actually take the time to try exercising they realize it's an enjoyable experience	When people actually take the time to try exercising they realize it's an enjoyable experience.	27	40
essay06.txt	2	active people are less likely to have depression and anxiety	It also showed that active people are less likely to have depression and anxiety.	20	40
essay06.txt	2	When you having fun you don't even realize that your exercising and you look forward to it everyday	When you having fun you don't even realize that your exercising and you look forward to it everyday.	30	40
essay06.txt	2	It doesn't matter how you exercise, as long as you are being active	It doesn't matter how you exercise, as long as you are being active.	28	40
essay06.txt	0	Why you should Exercise.	Why you should Exercise.	0	40
essay06.txt	0	More than 1.6 billion people in the world are either overweight or obese and United States has the highest rate of obesity.	More than 1.6 billion people in the world are either overweight or obese and United States has the highest rate of obesity.	1	40
essay06.txt	0	In today's society people are less concerned with the food they eat and their physical condition, so many serious illnesses are becoming quite common.	In today's society people are less concerned with the food they eat and their physical condition, so many serious illnesses are becoming quite common.	15	40
essay06.txt	0	Everyone enjoys different sports or activities, so it's important to figure out which is best for you.	Everyone enjoys different sports or activities, so it's important to figure out which is best for you.	29	40
essay06.txt	0	It makes exercising well worth it.	It makes exercising well worth it.	33	40
essay06.txt	0	So next time you are deciding whether or not to exercise just think of the benefits you will experience from it.	So next time you are deciding whether or not to exercise just think of the benefits you will experience from it.	38	40
essay07.txt	1	newspapers have lost their competitive advantage to sustain their prolonged existence	Some people, however, still believe that they can exist for long time; others disagree, arguing that newspapers have lost their competitive advantage to sustain their prolonged existence.	3	19
essay07.txt	2	to obtain information, using the internet is quicker and more convenient than reading newspapers	First of all, to obtain information, using the internet is quicker and more convenient than reading newspapers.	5	19
essay07.txt	2	The internet has been more and more popular for recent years, providing people with a huge source of information	The internet has been more and more popular for recent years, providing people with a huge source of information.	1	19
essay07.txt	3	the print media has failed to keep its important role in the provision of information	Hence, the print media has failed to keep its important role in the provision of information.	8	19
essay07.txt	2	from the economic aspect, buying newspapers appears to be a waste of money when the internet becomes available for every one	Another point is that, from the economic aspect, buying newspapers appears to be a waste of money when the internet becomes available for every one.	9	19
essay07.txt	2	Contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime	Contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime.	6	19
essay07.txt	2	these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages	As can be seen, these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages.	7	19
essay07.txt	3	the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time	For this reason, the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time.	13	19
essay07.txt	2	when taking environment into consideration, people must conceive that the more newspapers are published, the more trees are cut down	Last, but not least, when taking environment into consideration, people must conceive that the more newspapers are published, the more trees are cut down.	14	19
essay07.txt	2	This is simply the contributor to the deforestation which is happening all over the world today	This is simply the contributor to the deforestation which is happening all over the world today.	15	19
essay07.txt	3	newspapers' production will have to face environmentalists on its way to be alive	At this point, newspapers' production will have to face environmentalists on its way to be alive.	16	19
essay07.txt	2	the internet service is being provided at a low cost or even free in many countries	It is clear to recognize that the internet service is being provided at a low cost or even free in many countries.	10	19
essay07.txt	2	The answer, perhaps, is that hardly would rational people do so	The answer, perhaps, is that hardly would rational people do so.	12	19
essay07.txt	0	Will newspapers become a thing of the past?	Will newspapers become a thing of the past?	0	19
essay07.txt	0	As a result of this, print media such as newspapers have experienced a dramatic decline in the number of readers.	As a result of this, print media such as newspapers have experienced a dramatic decline in the number of readers.	2	19
essay07.txt	0	Personally, I am inclined to agree with the latter view for following reasons.	Personally, I am inclined to agree with the latter view for following reasons.	4	19
essay07.txt	0	The question arises as to whether or not a person spends an extra money buying newspapers to receive the same, even usually less information than those he can have with the internet?	The question arises as to whether or not a person spends an extra money buying newspapers to receive the same, even usually less information than those he can have with the internet?	11	19
essay07.txt	0	In conclusion, it might be unpleasant for some advocating newspapers to witness the extinction of the type of media.	In conclusion, it might be unpleasant for some advocating newspapers to witness the extinction of the type of media.	17	19
essay07.txt	0	However, this, if occurring, should be seen as a result of the ever- increasing innovations in media technology and in our modern life as a whole.	However, this, if occurring, should be seen as a result of the ever- increasing innovations in media technology and in our modern life as a whole.	18	19
essay08.txt	1	it can contribute greatly to the development of the world	However, I strongly believe that its advantages clearly outweigh its disadvantages, and that it can contribute greatly to the development of the world.	17	19
essay08.txt	3	Technology, however, is not the best solution to all the world's intricate problems	Technology, however, is not the best solution to all the world's intricate problems.	2	19
essay08.txt	3	we need to place less emphasis on technological solutions and more on other values, such as economy, politics and education	Accordingly, it is believed that we need to place less emphasis on technological solutions and more on other values, such as economy, politics and education.	3	19
essay08.txt	2	hi-tech devices also have a very positive impact on many aspects of our lives	In addition, hi-tech devices also have a very positive impact on many aspects of our lives.	7	19
essay08.txt	2	They help us to work and study more efficiently, thus leading to an improvement in our abilities	They help us to work and study more efficiently, thus leading to an improvement in our abilities.	8	19
essay08.txt	3	technology plays an integral part in our lives	To begin with, it should be borne in mind that technology plays an integral part in our lives.	5	19
essay08.txt	2	With the invention of computers and the Internet, we now can get easy access to all kinds of information	With the invention of computers and the Internet, we now can get easy access to all kinds of information.	6	19
essay08.txt	3	there are some serious problems springing from modern technology	However, there are some serious problems springing from modern technology.	11	19
essay08.txt	2	deadly and powerful weapons can be a huge threat to the world's peace	First, deadly and powerful weapons can be a huge threat to the world's peace.	12	19
essay08.txt	2	a lot of people spend too much time using hi-tech devices nowadays	Second, a lot of people spend too much time using hi-tech devices nowadays.	13	19
essay08.txt	2	They abuse them so severely that they feel they can hardly live without them	They abuse them so severely that they feel they can hardly live without them.	14	19
essay08.txt	2	Medical advances can improve our health and cure many fatal diseases	Medical advances can improve our health and cure many fatal diseases.	9	19
essay08.txt	2	This can have a detrimental effect on their health	This can have a detrimental effect on their health, since they are likely to develop many dangerous diseases, including obesity, heart attack and high blood-pressure.	15	19
essay08.txt	2	modern technology enables us to predict natural disasters much faster and more accurately, so we can reduce the number of deaths and property damage	Besides, modern technology enables us to predict natural disasters much faster and more accurately, so we can reduce the number of deaths and property damage.	10	19
essay08.txt	2	they are likely to develop many dangerous diseases, including obesity, heart attack and high blood-pressure	This can have a detrimental effect on their health, since they are likely to develop many dangerous diseases, including obesity, heart attack and high blood-pressure.	15	19
essay08.txt	2	technology is very crucial for our lives	In conclusion, although there is no disputing the fact that technology is very crucial for our lives, in can also result in several negative drawbacks.	16	19
essay08.txt	3	scientists should not place less emphasis on technological solutions, but try to pay more attention to develop new technologies instead	Therefore, scientists should not place less emphasis on technological solutions, but try to pay more attention to develop new technologies instead.	18	19
essay08.txt	2	its advantages clearly outweigh its disadvantages	However, I strongly believe that its advantages clearly outweigh its disadvantages, and that it can contribute greatly to the development of the world.	17	19
essay08.txt	0	Technology cannot solve all the world's problems!	Technology cannot solve all the world's problems!	0	19
essay08.txt	0	In our modern times, with the development of science and technology, our living standard has been improved beyond recognition.	In our modern times, with the development of science and technology, our living standard has been improved beyond recognition.	1	19
essay08.txt	0	Personally, I partly disagree with this point of view, and the reasons are given below.	Personally, I partly disagree with this point of view, and the reasons are given below.	4	19
essay09.txt	2	In a country with only 5% of the earth's population, the United States holds 25% of the world's prisoners ("Marijuana Prison Statistics")	In a country with only 5% of the earth's population, the United States holds 25% of the world's prisoners ("Marijuana Prison Statistics").	9	35
essay09.txt	2	A significant amount of those criminals are in there for drug related crimes	A significant amount of those criminals are in there for drug related crimes.	10	35
essay09.txt	2	if we were to legalize and tax it, the government would make tons of profit and we could start paying off this $16trillion national debt	Imagine if we were to legalize and tax it, the government would make tons of profit and we could start paying off this $16trillion national debt.	7	35
essay09.txt	2	Not to mention it would create tons of jobs and people in prison for marijuana crimes would be released	Not to mention it would create tons of jobs and people in prison for marijuana crimes would be released.	8	35
essay09.txt	2	Many cancer patients have used medical marijuana as a way of dealing with nausea after treatment or stimulating their appetite	Many cancer patients have used medical marijuana as a way of dealing with nausea after treatment or stimulating their appetite.	30	35
essay09.txt	2	Many musicians admit that cannabis helps them get creative with their music and opens their minds to new ideas and concepts	Many musicians admit that cannabis helps them get creative with their music and opens their minds to new ideas and concepts.	29	35
essay09.txt	2	zero people have died from overdosing on pot	79,000 people a year die from alcohol poisoning, while zero people have died from overdosing on pot.	20	35
essay09.txt	2	Legalize marijuana and you cut a huge percent of their profits, army strength, and political power	Legalize marijuana and you cut a huge percent of their profits, army strength, and political power.	16	35
essay09.txt	2	79,000 people a year die from alcohol poisoning	79,000 people a year die from alcohol poisoning, while zero people have died from overdosing on pot.	20	35
essay09.txt	2	Otherwise they're going to do whatever they can to save the marijuana black market	Otherwise they're going to do whatever they can to save the marijuana black market.	17	35
essay09.txt	2	those substances are way more harmful than cannabis	But then you'd have to explain why alcohol and tobacco are legal because those substances are way more harmful than cannabis.	19	35
essay09.txt	2	you'd have to explain why alcohol and tobacco are legal	But then you'd have to explain why alcohol and tobacco are legal because those substances are way more harmful than cannabis.	19	35
essay09.txt	2	anything has the potential to be abused, even something as simple as food	This is an unfair statement, anything has the potential to be abused, even something as simple as food.	27	35
essay09.txt	3	marijuana is addictive and can be abused, thus making it mentally unhealthy	Another thing that is often said is that marijuana is addictive and can be abused, thus making it mentally unhealthy.	26	35
essay09.txt	2	they are introduced to these hardcore drugs in the same underground market where they got the marijuana, not because it's a gateway drug	Teens are susceptible to harsher drugs after trying marijuana because they are introduced to these hardcore drugs in the same underground market where they got the marijuana, not because it's a gateway drug.	25	35
essay09.txt	2	Teens are susceptible to harsher drugs after trying marijuana	Teens are susceptible to harsher drugs after trying marijuana because they are introduced to these hardcore drugs in the same underground market where they got the marijuana, not because it's a gateway drug.	25	35
essay09.txt	1	prohibition does more harm than good	Users of the drug aren't the only ones who support cannabis; many of us who do not indulge are pro-legalization because we see that prohibition does more harm than good.	4	35
essay09.txt	2	Despite great efforts by the federal government against marijuana, it has become a large part of the national economy	Despite great efforts by the federal government against marijuana, it has become a large part of the national economy.	6	35
essay09.txt	3	The legalization of marijuana would help get the economy going again	The legalization of marijuana would help get the economy going again.	5	35
essay09.txt	2	Another group that benefits greatly from prohibition are the drug cartels	Another group that benefits greatly from prohibition are the drug cartels.	15	35
essay09.txt	3	The war on drugs is a complete failure	The war on drugs is a complete failure.	11	35
